Name,Category,Instagram_Username,Instagram_URL,YouTube_URL,Website_URL,Tags
🇺🇸 Mexican Consulate,Diplomatic,consulmexsea,https://instagram.com/consulmexsea,,,consular-services consulate consulmexsea diplomatic english-speaking foreign-affairs international international-relations north-america united-states usa
🇧🇴 Mexico in Bolivia,Diplomatic,emba_mexbol,https://instagram.com/emba_mexbol,,,andean andes bolivia bolivian california emba-mexbol emba_mexbol embassy english-speaking la-paz landlocked latin-america los-angeles mexican mexico mx nafta north-america south-america spanish-speaking usa west-coast
🇨🇦 Mexico in Canada,Diplomatic,embamexcan,https://instagram.com/embamexcan,,,canada canadian commonwealth embamexcan embassy english-speaking french-speaking latin-america mexican mexico mx nafta north-america ontario ottawa spanish-speaking
🇨🇱 Mexico in Chile,Diplomatic,embamexchi,https://instagram.com/embamexchi,,,chile chilean embamexchi embassy latin-america mexican mexico mx nafta north-america pacific santiago south-america southern-cone spanish-speaking
🇨🇴 Mexico in Colombia,Diplomatic,embamexcol,https://instagram.com/embamexcol,,https://embamex.sre.gob.mx/colombia/,andean bogota co colombia colombian embamexcol embassy latin-america mexican mexico mx nafta north-america south-america spanish-speaking
🇬🇹 Mexico in Guatemala,Diplomatic,embamexgua,https://instagram.com/embamexgua,,,california central-america embamexgua embassy english-speaking guatemala guatemala-city guatemalan latin-america los-angeles mexican mexico mx nafta north-america spanish-speaking usa west-coast
🇮🇹 Mexico in Italy,Diplomatic,embamex_italia,https://instagram.com/embamex_italia,,,embamex-italia embamex_italia embassy eu europe italian italian-speaking italy latin-america mediterranean mexican mexico mx nafta north-america rome spanish-speaking
🇯🇵 Mexico in Japan,Diplomatic,embamexjp,https://instagram.com/embamexjp,,,asia east-asia embamexjp embassy japan japanese japanese-speaking latin-america mexican mexico mx nafta north-america pacific spanish-speaking tokyo
🇱🇧 Mexico in Lebanon,Diplomatic,embamexlibano,https://instagram.com/embamexlibano,,,arab beirut embamexlibano embassy latin-america lebanese lebanon mediterranean mexican mexico middle-east mx nafta north-america spanish-speaking
🇵🇪 Mexico in Peru,Diplomatic,embamexperu,https://instagram.com/embamexperu,,,andean embamexperu embassy latin-america lima mexican mexico mx nafta north-america pacific peru peruvian south-america spanish-speaking
🇪🇸 Mexico in Spain,Diplomatic,embamexesp,https://instagram.com/embamexesp,,,ai artificial-intelligence embamexesp embassy eu europe iberian innovation latin-america madrid mediterranean mexican mexico mx nafta north-america spain spanish spanish-speaking technology
🇺🇾 Mexico in Uruguay,Diplomatic,embamexur,https://instagram.com/embamexur,,,embamexur embassy latin-america mexican mexico montevideo mx nafta north-america rio-de-la-plata south-america southern-cone spanish-speaking uruguay uruguayan
🇺🇸 Mexico in USA,Diplomatic,embamexeua,https://instagram.com/embamexeua,,https://embamex.sre.gob.mx/eua/,american capital embamexeua embassy english-speaking latin-america mexican mexico mx nafta north-america spanish-speaking united-states usa washington-dc
🇻🇪 Mexico in Venezuela,Diplomatic,embamexvenezuela,https://instagram.com/embamexvenezuela,,,california caracas caribbean embamexvenezuela embassy english-speaking latin-america los-angeles mexican mexico mx nafta north-america south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇧🇪 Belgium Embassy,Diplomatic,belgicaenmexico,https://instagram.com/belgicaenmexico,,,belgicaenmexico bilateral diplomatic embassy foreign-affairs international-relations
🇧🇷 Brazil Embassy,Diplomatic,brasilnomexico,https://instagram.com/brasilnomexico,,,bilateral brasilnomexico brazil diplomatic embassy foreign-affairs international-relations latin-america portuguese-speaking south-america
🇨🇱 Chile Embassy,Diplomatic,embachilemexico,https://instagram.com/embachilemexico,,,bilateral chile diplomatic embachilemexico embassy foreign-affairs international-relations latin-america pacific south-america southern-cone spanish-speaking
🇨🇺 Cuba Embassy,Diplomatic,embacumex,https://instagram.com/embacumex,,,bilateral caribbean cuba diplomatic embacumex embassy foreign-affairs international-relations island latin-america spanish-speaking
🇩🇴 Dominican Republic,Diplomatic,rdenmexico,https://instagram.com/rdenmexico,,,capital caribbean cdmx dominican dominican-republic embassy island latin-america mexican mexico mexico-city mx nafta north-america rdenmexico spanish-speaking
🇫🇮 Finland Embassy,Diplomatic,finlandiaenmexico,https://instagram.com/finlandiaenmexico,,,bilateral diplomatic embassy finlandiaenmexico foreign-affairs international-relations
🇫🇷 France Embassy,Diplomatic,franciaenmexico,https://instagram.com/franciaenmexico,,,bilateral diplomatic embassy eu europe foreign-affairs france franciaenmexico french-speaking international-relations western-europe
🇩🇪 Germany Embassy,Diplomatic,alemaniamexi,https://instagram.com/alemaniamexi,,,alemaniamexi bilateral central-europe diplomatic embassy eu europe foreign-affairs german-speaking germany international-relations
🇮🇳 India Embassy,Diplomatic,indiainmex,https://instagram.com/indiainmex,,,asia bilateral commonwealth diplomatic embassy english-speaking foreign-affairs india indiainmex international-relations south-asia
🇮🇪 Ireland Embassy,Diplomatic,irishembmexico,https://instagram.com/irishembmexico,,,bilateral diplomatic embassy foreign-affairs international-relations irishembmexico
🇯🇵 Japan Embassy,Diplomatic,japanemb_mexico,https://instagram.com/japanemb_mexico,,,asia bilateral diplomatic east-asia embassy foreign-affairs international-relations japan japanemb_mexico japanese-speaking pacific
🇯🇴 Jordan Embassy,Diplomatic,embmexenjordania,https://instagram.com/embmexenjordania,,,bilateral diplomatic embassy embmexenjordania foreign-affairs international-relations
🇵🇦 Panama Embassy,Diplomatic,embpanamamex,https://instagram.com/embpanamamex,,,bilateral central-america diplomatic embassy embpanamamex foreign-affairs international-relations latin-america panama spanish-speaking
🇵🇪 Peru Embassy,Diplomatic,elperuenmex,https://instagram.com/elperuenmex,,,andean bilateral diplomatic elperuenmex embassy foreign-affairs international-relations latin-america pacific peru south-america spanish-speaking
🇶🇦 Qatar Embassy,Diplomatic,qatarembassymex,https://instagram.com/qatarembassymex,,,bilateral diplomatic embassy foreign-affairs international-relations qatarembassymex
🇨🇭 Switzerland Embassy,Diplomatic,casadesuiza,https://instagram.com/casadesuiza,,,bilateral casadesuiza diplomatic embassy foreign-affairs international-relations
